ticker,accuracy,f1_score,auc,TP,FP,FN,TN
TSLA,0.4811320754716981,0.5299145299145299,0.4540420819490586,31,23,32,20
MSFT,0.5698324022346368,0.7148148148148148,0.5144128396631178,193,144,10,11
AMZN,0.45689655172413796,0.3368421052631579,0.5278832551559824,32,37,89,74
GOOGL,0.577922077922078,0.6264367816091954,0.5351880081300813,109,75,55,69
GE,0.49586776859504134,0.5271317829457365,0.48346055979643765,136,158,86,104
GS,0.5027932960893855,0.13592233009708737,0.5217486338797814,14,9,169,166
IBM,0.5227272727272727,0.5237113402061856,0.5181638781638782,127,99,132,126
JPM,0.5041322314049587,0.1111111111111111,0.5217799634581561,15,12,228,229
FB,0.5283018867924528,0.5283018867924528,0.5878983172216254,28,21,29,28
AAPL,0.48044692737430167,0.363013698630137,0.525915404040404,53,41,145,119
